# confusables.txt
# Ngày: 22/07/2025, 05:49:37 GMT
# © 2025 Unicode®, Inc.
# Unicode và Logo Unicode là các nhãn hiệu đã được đăng ký của Unicode, Inc. tại Hoa Kỳ và các quốc gia khác.
# Để biết các điều khoản sử dụng và giấy phép, vui lòng xem https://www.unicode.org/terms_of_use.html
#
# Cơ chế bảo mật Unicode cho UTS #39
# Phiên bản: 17.0.0
#
# Để biết tài liệu và hướng dẫn sử dụng, vui lòng xem https://www.unicode.org/reports/tr39
#
05AD ; 0596 ; MA # ( ֭ → ֖ ) GIỌNG HEBREW DEHI → GIẤC HEBREW TIPEHA #
FC06 ; 0628 062D ; MA # ( ‎ﰆ‎ → ‎بح‎ ) CHỮ LIÊN KẾT Ả RẬP BEH VỚI HAH DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP HAH #

FDC2 ; 0628 062D 0649 ; MA # ( ‎ﷂ‎ → ‎بحى‎ ) CHỮ LIỀN Ả RẬP BEH VỚI HAH VỚI YEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP ALEF MAKSURA # →‎بحي‎→

FC9E ; 0628 062E ; MA # ( ‎ﲞ‎ → ‎بخ‎ ) CHỮ LIÊN KẾT Ả RẬP BEH VỚI CHỮ CÁI ĐẦU KHAH → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP KHAH #
FC07 ; 0628 062E ; MA # ( ‎ﰇ‎ → ‎بخ‎ ) CHỮ LIÊN KẾT Ả RẬP BEH VỚI KHAH DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP KHAH #
FCD2 ; 0628 062E ; MA # ( ‎ﳒ‎ → ‎بخ‎ ) CHỮ LIỀN Ả RẬP NOON VỚI DẠNG CHỮ CÁI ĐẦU JEEM → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP KHAH # →‎ﲞ‎→
FC4B ; 0628 062E ; MA # ( ‎ﱋ‎ → ‎بخ‎ ) CHỮ LIỀN Ả RẬP NOON VỚI JEEM DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP KHAH # →‎نج‎→→‎ﳒ‎→→‎ﲞ‎→

FD9E ; 0628 062E 0649 ; MA # ( ‎ﶞ‎ → ‎بخى‎ ) CHỮ GHÉP Ả RẬP BEH VỚI KHAH VỚI YEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP KHAH, CHỮ CÁI Ả RẬP ALEF MAKSURA # →‎بخي‎→

FC6A ; 0628 0631 ; MA # ( ‎ﱪ‎ → ‎بر‎ ) CHỮ GHÉP Ả RẬP BEH VỚI DẠNG CUỐI REH → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP REH #

FC6B ; 0628 0632 ; MA # ( ‎ﱫ‎ → ‎بز‎ ) CHỮ GHÉP Ả RẬP BEH VỚI DẠNG CUỐI ZAIN → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP ZAIN #

FC9F ; 0628 0645 ; MA # ( ‎ﲟ‎ → ‎بم‎ ) CHỮ GHÉP Ả RẬP BEH VỚI DẠNG ĐẦU MEEM → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP MEEM #
FCE1 ; 0628 0645 ; MA # ( ‎ﳡ‎ → ‎بم‎ ) CHỮ LIÊN KẾT Ả RẬP BEH VỚI DẠNG GIỮA MEEM → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP MEEM #
FC6C ; 0628 0645 ; MA # ( ‎ﱬ‎ → ‎بم‎ ) CHỮ GHÉP Ả RẬP BEH VỚI DẠNG CUỐI MEEM → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP MEEM #
FC08 ; 0628 0645 ; MA # ( ‎ﰈ‎ → ‎بم‎ ) CHỮ LIỀN Ả RẬP BEH VỚI MEEM DẠNG TÁCH BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP MEEM #

FC6D ; 0628 0646 ; MA # ( ‎ﱭ‎ → ‎بن‎ ) CHỮ LIÊN KẾT Ả RẬP BEH VỚI DẠNG CUỐI NOON → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP NOON #

FC6E ; 0628 0649 ; MA # ( ‎ﱮ‎ → ‎بى‎ ) CHỮ LIỀN Ả RẬP BEH VỚI DẠNG CUỐI CÙNG ALEF MAKSURA → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP ALEF MAKSURA #
FC09 ; 0628 0649 ; MA # ( ‎ﰉ‎ → ‎بى‎ ) CHỮ LIỀN Ả RẬP BEH VỚI ALEF MAKSURA DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP ALEF MAKSURA #
FC6F ; 0628 0649 ; MA # ( ‎ﱯ‎ → ‎بى‎ ) CHỮ Ả Rập BEH VỚI HÌNH THỨC CUỐI CÙNG YEH → THƯ Ả Rập BEH, THƯ Ả Rập ALEF MAKSURA # →‎بي‎→
FC0A ; 0628 0649 ; MA # ( ‎ﰊ‎ → ‎بى‎ ) CHỮ LIỀN Ả RẬP BEH VỚI YEH DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP BEH, CHỮ CÁI Ả RẬP ALEF MAKSURA # →‎بي‎→

FB54 ; 067B ; MA # ( ‎ﭔ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP BEEH DẠNG CHỮ CÁI Ả RẬP BEEH #
FB55 ; 067B ; MA # ( ‎ﭕ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP BEEH DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP BEEH #
FB53 ; 067B ; MA # ( ‎ﭓ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP BEEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP BEEH #
FB52 ; 067B ; MA # ( ‎ﭒ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP BEEH DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP BEEH #
06D0 ; 067B ; MA # ( ‎ې‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP E → CHỮ CÁI Ả RẬP BEEH #
FBE6 ; 067B ; MA # ( ‎ﯦ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP E DẠNG ĐẦU → CHỮ CÁI Ả RẬP BEEH # →‎ې‎→
FBE7 ; 067B ; MA # ( ‎ﯧ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP E DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP BEEH # →‎ې‎→
FBE5 ; 067B ; MA # ( ‎ﯥ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP E DẠNG CUỐI → CHỮ CÁI Ả RẬP BEEH # →‎ې‎→
FBE4 ; 067B ; MA # ( ‎ﯤ‎ → ‎ٻ‎ ) CHỮ CÁI Ả RẬP E DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP BEEH # →‎ې‎→

FB5C ; 0680 ; MA # ( ‎ﭜ‎ → ‎ڀ‎ ) CHỮ CÁI Ả RẬP BEHEH DẠNG CHỮ CÁI ĐẦU TIÊN → CHỮ CÁI Ả RẬP BEHEH #
FB5D ; 0680 ; MA # ( ‎ﭝ‎ → ‎ڀ‎ ) CHỮ CÁI Ả RẬP BEHEH DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP BEHEH #
FB5B ; 0680 ; MA # ( ‎ﭛ‎ → ‎ڀ‎ ) CHỮ CÁI Ả RẬP BEHEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP BEHEH #
FB5A ; 0680 ; MA # ( ‎ﭚ‎ → ‎ڀ‎ ) CHỮ CÁI Ả RẬP BEHEH DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP BEHEH #
10EC7 ; 0680 ; MA # ( ‎𐻇‎ → ‎ڀ‎ ) CHỮ CÁI Ả RẬP YEH CÓ BỐN DẤU CHẤM BÊN DƯỚI → CHỮ CÁI Ả RẬP BEHEH #

08A9 ; 0754 ; MA # ( ‎ࢩ‎ → ‎ݔ‎ ) CHỮ CÁI Ả RẬP YEH CÓ HAI CHẤM DƯỚI VÀ MỘT CHẤM TRÊN → CHỮ CÁI Ả RẬP BEH CÓ HAI CHẤM DƯỚI VÀ MỘT CHẤM TRÊN #
0767 ; 0754 ; MA # ( ‎ݧ‎ → ‎ݔ‎ ) CHỮ CÁI Ả RẬP NOON CÓ HAI CHẤM BÊN DƯỚI → CHỮ CÁI Ả RẬP BEH CÓ HAI CHẤM BÊN DƯỚI VÀ MỘT CHẤM BÊN TRÊN #

2365 ; 0629 ; MA #* ( ⍥ → ‎ة‎ ) APL KÝ HIỆU CHỨC NĂNG VÒNG TRÒN DẤU CHẤM → CHỮ CÁI Ả RẬP TEH MARBUTA # →ö→
00F6 ; 0629 ; MA # ( ö → ‎ة‎ ) CHỮ CÁI LATIN THƯỜNG O CÓ DẤU CHẤM → CHỮ CÁI Ả RẬP TEH MARBUTA #
FE94; 0629 ; MA # ( ‎ﺔ‎ → ‎ة‎ ) THƯ Ả Rập TEH MARBUTA MẪU CUỐI CÙNG → THƯ Ả Rập TEH MARBUTA #
FE93; 0629 ; MA # ( ‎ﺓ‎ → ‎ة‎ ) THƯ Ả Rập TEH MARBUTA MẪU ĐẶC BIỆT → THƯ Ả Rập TEH MARBUTA #
06C3 ; 0629 ; MA # ( ‎ۃ‎ → ‎ة‎ ) THƯ Ả Rập TEH MARBUTA MỤC TIÊU → THƯ Ả Rập TEH MARBUTA #

1EE15 ; 062A ; MA # ( ‎𞸕‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH → CHỮ CÁI Ả RẬP TEH #
1EE35 ; 062A ; MA # ( ‎𞸵‎ → ‎ت‎ ) CHỮ CÁI ĐẦU TIÊN TOÁN HỌC TIẾNG Ả RẬP TEH → CHỮ CÁI TIẾNG Ả RẬP TEH #
1EE75 ; 062A ; MA # ( ‎𞹵‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH KÉO DÀI → CHỮ CÁI Ả RẬP TEH #
1EE95 ; 062A ; MA # ( ‎𞺕‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH → CHỮ CÁI Ả RẬP TEH #
1EEB5 ; 062A ; MA # ( ‎𞺵‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH GẮN HAI LẦN → CHỮ CÁI Ả RẬP TEH #
FE97 ; 062A ; MA # ( ‎ﺗ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH DẠNG CHỮ CÁI Ả RẬP TEH #
FE98 ; 062A ; MA # ( ‎ﺘ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP TEH #
FE96 ; 062A ; MA # ( ‎ﺖ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH #
FE95 ; 062A ; MA # ( ‎ﺕ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TEH DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP TEH #
067A ; 062A ; MA # ( ‎ٺ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TTEHEH → CHỮ CÁI Ả RẬP TEH #
FB60 ; 062A ; MA # ( ‎ﭠ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TTEHEH DẠNG BAN ĐẦU → CHỮ CÁI Ả RẬP TEH # →‎ٺ‎→
FB61 ; 062A ; MA # ( ‎ﭡ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TTEHEH DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP TEH # →‎ٺ‎→
FB5F ; 062A ; MA # ( ‎ﭟ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TTEHEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH # →‎ٺ‎→
FB5E ; 062A ; MA # ( ‎ﭞ‎ → ‎ت‎ ) CHỮ CÁI Ả RẬP TTEHEH DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP TEH # →‎ٺ‎→

08BF ; 062A 0306 ; MA # ( ‎ࢿ‎ → ‎ت̆‎ ) CHỮ CÁI Ả RẬP TEH VỚI CHỮ V THƯỜNG → CHỮ CÁI Ả RẬP TEH, KẾT HỢP DẤU # →‎تٚ‎→

FCA5 ; 062A 006F ; MA # ( ‎ﲥ‎ → ‎تo‎ ) CHỮ GHÉP Ả RẬP TEH VỚI DẠNG ĐẦU HEH → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI LATIN THƯỜNG O # →‎ته‎→
FCE4 ; 062A 006F ; MA # ( ‎ﳤ‎ → ‎تo‎ ) CHỮ GHÉP Ả RẬP TEH VỚI DẠNG GIỮA HEH → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI LATIN THƯỜNG O # →‎ته‎→

FCA1 ; 062A 062C ; MA # ( ‎ﲡ‎ → ‎تج‎ ) CHỮ Ả Rập TEH VỚI MẪU BAN ĐẦU JEEM → THƯ Ả Rập TEH, THƯ Ả Rập JEEM #
FC0B ; 062A 062C ; MA # ( ‎ﰋ‎ → ‎تج‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI JEEM DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP JEEM #

FD50 ; 062A 062C 0645 ; MA # ( ‎ﵐ‎ → ‎تجم‎ ) CHỮ LIỀN Ả RẬP TEH VỚI JEEM VỚI MEEM DẠNG ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP MEEM #

FDA0; 062A 062C 0649 ; MA # ( ‎ﶠ‎ →‎ تجى‎ ) CHỮ Ả Rập TEH VỚI JEEM VỚI HÌNH THỨC CUỐI CÙNG ALEF MAKSURA → THƯ Ả Rập TEH, THƯ Ả Rập JEEM, THƯ Ả Rập ALEF MAKSURA #
FD9F ; 062A 062C 0649 ; MA # ( ‎ﶟ‎ → ‎تجى‎ ) CHỮ GHÉP TIẾNG Ả RẬP TEH VỚI JEEM VỚI YEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP ALEF MAKSURA # →‎تجي‎→

FCA2 ; 062A 062D ; MA # ( ‎ﲢ‎ → ‎تح‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI CHỮ CÁI ĐẦU HAH → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP HAH #
FC0C ; 062A 062D ; MA # ( ‎ﰌ‎ → ‎تح‎ ) CHỮ LIỀN Ả RẬP TEH VỚI HAH DẠNG TÁCH BIỆT → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP HAH #

FD52 ; 062A 062D 062C ; MA # ( ‎ﵒ‎ → ‎تحج‎ ) CHỮ LIỀN Ả RẬP TEH VỚI HAH VỚI JEEM DẠNG CHỮ CÁI ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP JEEM #
FD51 ; 062A 062D 062C ; MA # ( ‎ﵑ‎ → ‎تحج‎ ) CHỮ LIỀN Ả RẬP TEH VỚI HAH VỚI JEEM DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP JEEM #

FD53 ; 062A 062D 0645 ; MA # ( ‎ﵓ‎ → ‎تحم‎ ) CHỮ LIỀN Ả RẬP TEH VỚI HAH VỚI MEEM DẠNG ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP MEEM #

FCA3 ; 062A 062E ; MA # ( ‎ﲣ‎ → ‎تخ‎ ) CHỮ Ả Rập TEH VỚI MẪU KHAH ĐẦU → CHƯ Ả Rập TEH, THƯ Ả Rập KHAH #
FC0D ; 062A 062E ; MA # ( ‎ﰍ‎ → ‎تخ‎ ) CHỮ LIỀN Ả RẬP TEH VỚI KHAH DẠNG TÁCH BIỆT → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP KHAH #

FD54 ; 062A 062E 0645 ; MA # ( ‎ﵔ‎ → ‎تخم‎ ) CHỮ LIỀN Ả RẬP TEH VỚI KHAH VỚI MEEM DẠNG ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP KHAH, CHỮ CÁI Ả RẬP MEEM #

FDA2; 062A 062E 0649 ; MA # ( ‎ﶢ‎ → ‎تخى‎ ) CHỮ Ả Rập TEH VỚI KHAH VỚI HÌNH THỨC CUỐI CÙNG ALEF MAKSURA → THƯ Ả Rập TEH, THƯ Ả Rập KHAH, THƯ Ả Rập ALEF MAKSURA #
FDA1; 062A 062E 0649 ; MA # ( ‎ﶡ‎ → ‎تخى‎ ) CHỮ Ả Rập TEH VỚI KHAH VỚI YEH HÌNH THỨC CUỐI CÙNG → THƯ Ả Rập TEH, THƯ Ả Rập KHAH, THƯ Ả Rập ALEF MAKSURA # →‎تخي‎→

FC70 ; 062A 0631 ; MA # ( ‎ﱰ‎ → ‎تر‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI DẠNG CUỐI REH → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP REH #

FC71 ; 062A 0632 ; MA # ( ‎ﱱ‎ → ‎تز‎ ) CHỮ GHÉP Ả RẬP TEH VỚI DẠNG CUỐI ZAIN → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP ZAIN #

FCA4 ; 062A 0645 ; MA # ( ‎ﲤ‎ → ‎تم‎ ) CHỮ GHÉP Ả RẬP TEH VỚI DẠNG ĐẦU TIÊN MEEM → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM #
FCE3 ; 062A 0645 ; MA # ( ‎ﳣ‎ → ‎تم‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI MEEM DẠNG GIỮA → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM #
FC72 ; 062A 0645 ; MA # ( ‎ﱲ‎ → ‎تم‎ ) CHỮ GHÉP TIẾNG Ả RẬP TEH VỚI MEEM DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM #
FC0E ; 062A 0645 ; MA # ( ‎ﰎ‎ → ‎تم‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI MEEM DẠNG TÁCH BIỆT → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM #

FD55 ; 062A 0645 062C ; MA # ( ‎ﵕ‎ → ‎تمج‎ ) CHỮ LIỀN Ả RẬP TEH VỚI MEEM VỚI JEEM DẠNG CHỮ CÁI ĐẦU TIÊN → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP JEEM #

FD56 ; 062A 0645 062D ; MA # ( ‎ﵖ‎ → ‎تمح‎ ) CHỮ LIỀN Ả RẬP TEH VỚI MEEM VỚI HAH DẠNG ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP HAH #

FD57 ; 062A 0645 062E ; MA # ( ‎ﵗ‎ → ‎تمخ‎ ) CHỮ LIỀN Ả RẬP TEH VỚI MEEM VỚI KHAH DẠNG BAN ĐẦU → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP KHAH #

FDA4 ; 062A 0645 0649 ; MA # ( ‎ﶤ‎ → ‎تمى‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI MEEM VỚI ALEF MAKSURA DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP ALEF MAKSURA #
FDA3; 062A 0645 0649 ; MA # ( ‎ﶣ‎ →‎ تمى‎ ) CHỮ Ả Rập TEH VỚI MEEM VỚI YEH HÌNH THỨC CUỐI CÙNG → Ả Rập THƯ TEH, Ả Rập THƯ MEEM, Ả Rập THƯ ALEF MAKSURA # →‎تمي‎→

FC73 ; 062A 0646 ; MA # ( ‎ﱳ‎ → ‎تن‎ ) CHỮ LIÊN KẾT Ả RẬP TEH VỚI DẠNG CUỐI NOON → CHỮ CÁI Ả RẬP TEH, CHỮ CÁI Ả RẬP NOON #

FC74 ; 062A 0649 ; MA # ( ‎ﱴ‎ → ‎تى‎ ) CHỮ Ả Rập TEH VỚI HÌNH THỨC CUỐI CÙNG ALEF MAKSURA → THƯ Ả Rập TEH, THƯ Ả Rập ALEF MAKSURA #
FC0F ; 062A 0649 ; MA # ( ‎ﰏ‎ → ‎تى‎ ) CHỮ Ả Rập TEH VỚI MẪU ĐẶC BIỆT ALEF MAKSURA → THƯ Ả Rập TEH, THƯ Ả Rập ALEF MAKSURA #
FC75 ; 062A 0649 ; MA # ( ‎ﱵ‎ → ‎تى‎ ) CHỮ Ả Rập TEH VỚI HÌNH THỨC CUỐI CÙNG YEH → THƯ Ả Rập TEH, THƯ Ả Rập ALEF MAKSURA # →‎تي‎→
FC10 ; 062A 0649 ; MA # ( ‎ﰐ‎ → ‎تى‎ ) CHỮ Ả Rập TEH VỚI MẪU ĐẶC BIỆT YEH → THƯ Ả Rập TEH, THƯ Ả Rập ALEF MAKSURA # →‎تي‎→

FB64 ; 067F ; MA # ( ‎ﭤ‎ → ‎ٿ‎ ) CHỮ CÁI Ả RẬP TEHEH DẠNG CHỮ CÁI Ả RẬP TEHEH #
FB65 ; 067F ; MA # ( ‎ﭥ‎ → ‎ٿ‎ ) CHỮ CÁI Ả RẬP TEHEH DẠNG TRUNG GIAN → CHỮ CÁI Ả RẬP TEHEH #
FB63 ; 067F ; MA # ( ‎ﭣ‎ → ‎ٿ‎ ) CHỮ CÁI Ả RẬP TEHEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP TEHEH #
FB62 ; 067F ; MA # ( ‎ﭢ‎ → ‎ٿ‎ ) CHỮ CÁI Ả RẬP TEHEH DẠNG RIÊNG LẺ → CHỮ CÁI Ả RẬP TEHEH #

1EE02 ; 062C ; MA # ( ‎𞸂‎ → ‎ج‎ ) TOÁN Ả Rập JEEM → THƯ Ả Rập JEEM #
1EE22 ; 062C ; MA # ( ‎𞸢‎ → ‎ج‎ ) JEEM TOÁN Ả Rập BAN ĐẦU → CHỮ Ả Rập JEEM #
1EE42 ; 062C ; MA # ( ‎𞹂‎ → ‎ج‎ ) TOÁN Ả Rập TAILED JEEM → THƯ Ả Rập JEEM #
1EE62 ; 062C ; MA # ( ‎𞹢‎ → ‎ج‎ ) TOÁN Ả Rập GIẢI QUYẾT JEEM → THƯ Ả Rập JEEM #
1EE82 ; 062C ; MA # ( ‎𞺂‎ → ‎ج‎ ) VÒNG TUYỆT VỜI Ả Rập JEEM → THƯ Ả Rập JEEM #
1EEA2 ; 062C ; MA # ( ‎𞺢‎ → ‎ج‎ ) TOÁN Ả RẬP ĐÔI JEEM → THƯ Ả Rập JEEM #
FE9F ; 062C ; MA # ( ‎ﺟ‎ → ‎ج‎ ) THƯ Ả Rập JEEM MẪU BAN ĐẦU → THƯ Ả Rập JEEM #
FEA0; 062C ; MA # ( ‎ﺠ‎ → ‎ج‎ ) THƯ Ả Rập JEEM MEDIAL MẪU → THƯ Ả Rập JEEM #
FE9E ; 062C ; MA # ( ‎ﺞ‎ → ‎ج‎ ) THƯ Ả Rập JEEM MẪU CUỐI CÙNG → THƯ Ả Rập JEEM #
FE9D; 062C ; MA # ( ‎ﺝ‎ → ‎ج‎ ) THƯ Ả Rập JEEM MẪU ĐẶC BIỆT → THƯ Ả Rập JEEM #

FCA7 ; 062C 062D ; MA # ( ‎ﲧ‎ → ‎جح‎ ) CHỮ LIÊN KẾT Ả RẬP JEEM VỚI CHỮ CÁI ĐẦU HAH → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP HAH #
FC15 ; 062C 062D ; MA # ( ‎ﰕ‎ → ‎جح‎ ) CHỮ LIÊN KẾT Ả RẬP JEEM VỚI HAH DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP HAH #

FDA6 ; 062C 062D 0649 ; MA # ( ‎ﶦ‎ → ‎جحى‎ ) CHỮ LIÊN KẾT Ả RẬP JEEM VỚI HAH VỚI ALEF MAKSURA DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP ALEF MAKSURA #
FDBE ; 062C 062D 0649 ; MA # ( ‎ﶾ‎ → ‎جحى‎ ) CHỮ LIỀN Ả RẬP JEEM VỚI HAH VỚI YEH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP HAH, CHỮ CÁI Ả RẬP ALEF MAKSURA # →‎جحي‎→

FDFB ; 062C 0644 0020 062C 0644 006C 0644 006F ; MA #* ( ‎ﷻ‎ → ‎جل جلlلo‎ ) CHỮ GHÉP Ả RẬP JALLAJALALOUHOU → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP LAM, KHOẢNG TRỐNG, CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP LAM, CHỮ CÁI LATIN THƯỜNG L, CHỮ CÁI Ả RẬP LAM, CHỮ CÁI LATIN THƯỜNG O # →‎جل جلاله‎→

FCA8 ; 062C 0645 ; MA # (‎ﲨ‎ → ‎جم‎ ) CHỮ Ả Rập JEEM VỚI MẪU BAN ĐẦU → THƯ Ả Rập JEEM, THƯ Ả Rập MEEM #
FC16 ; 062C 0645 ; MA # ( ‎ﰖ‎ → ‎جم‎ ) CHỮ LIÊN KẾT Ả RẬP JEEM VỚI MEEM DẠNG RIÊNG BIỆT → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP MEEM #

FD59 ; 062C 0645 062D ; MA # ( ‎ﵙ‎ → ‎جمح‎ ) CHỮ LIỀN Ả RẬP JEEM VỚI MEEM VỚI HAH DẠNG ĐẦU → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP HAH #
FD58 ; 062C 0645 062D ; MA # ( ‎ﵘ‎ → ‎جمح‎ ) CHỮ LIÊN KẾT Ả RẬP JEEM VỚI MEEM VỚI HAH DẠNG CUỐI CÙNG → CHỮ CÁI Ả RẬP JEEM, CHỮ CÁI Ả RẬP MEEM, CHỮ CÁI Ả RẬP HAH #

FDA7; 062C 0645 0649 ; MA # ( ‎ﶧ‎ → ‎جمى‎ ) CHỮ Ả Rập JEEM VỚI MEEM VỚI MẪU CUỐI CÙNG ALEF MAKSURA → THƯ Ả Rập JEEM, THƯ Ả Rập MEEM, THƯ Ả Rập ALEF MAKSURA #
